MA_1_1,MA_1_2,MA_1_3,MA_1_4,MA_1_5,MA_1_6,MA_1_7,MA_1_8,MA_1_9,MA_1_10,MA_1_11,MA_2_1,MA_2_2,MA_2_3,MA_2_4,MA_2_5,MA_2_6,MA_2_7,MA_2_8,MA_2_9,MA_2_10,MA_2_11,GA_1,GA_2,GA_3,GA_4,GA_5,GA_6,GA_7,Age,Employment_1,Employment_2,Employment_3,Employment_4,Teacher,Educ_Attain,Parent,child35,child618,gender,ethnicity,race,collectiontype,id,Hopko_MA_mean,CG_MA_mean,scale1to10,generalanxiety,testanxiety,Fluency_Correct,MathFluency,BerlinNumeracy,ONET___STEM,Medianhouseholdincomedollars
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Somewhat true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,32,,,1,,No,Graduated from 2-year college,Yes,Yes,Yes,Woman,Non-Hispanic/Latino,White,1,337,1.4166666667,2,2,1,-3,20,0.3333277779,2,0,32556
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Some anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,31,,,1,,No,Completed graduate or professional school,No,,,Woman,Non-Hispanic/Latino,White,1,110,1.4166666667,2,2,1,-4,43,0.7134087666,3,0,32640
Low anxiety,Some anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Low anxiety,Some anxiety,Some anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,53,,,,1,Yes,Some college,No,,,Man,Non-Hispanic/Latino,Black or African American,1,369,2.1666666667,2.5454545455,4,1,-3.25,17,0.2833144457,1,0,70623
Low anxiety,Some anxiety,Some anxiety,Some anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Low anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Generally not true of me,Generally not true of me,Not true of me at all,Not true of me at all,Generally true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,35,,,1,,No,Graduated high school or high school equivalent,Yes,No,Yes,Man,Non-Hispanic/Latino,White,1,365,2.0833333333,2.6363636364,3,1,-3.25,17,0.283276678,1,0,36471
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,23,,,1,,No,Graduated from 2-year college,Yes,Yes,No,Man,Hispanic/Latino,White,1,249,1,1,0,1.1428571429,-4,18,0.2999750021,3,0,41278
Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Somewhat true of me,Generally not true of me,Not true of me at all,Not true of me at all,Somewhat true of me,Somewhat true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",21,,1,,,,Some college,No,,,Woman,Non-Hispanic/Latino,White,2,959,1.5,1.7272727273,3,1.2857142857,-3.75,48,0.8180795582,3,,112455
Some anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Not true of me at all,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,34,,1,,,,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,Black or African American,1,167,1.3333333333,1.9090909091,2,1,-4,25,0.4166319473,2,,34977
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Some anxiety,Some anxiety,Some anxiety,Moderate anxiety,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,39,,,,,,Completed graduate or professional school,Yes,No,Yes,Woman,Non-Hispanic/Latino,White,1,745,1.6666666667,2.4545454545,3,1.2857142857,-3,48,1.0942166093,3,,108881
Some anxiety,Low anxiety,Some anxiety,Low anxiety,Moderate anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,Some anxiety,Some anxiety,Moderate anxiety,Generally not true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,25,,,1,,No,Some college,No,,,Man,Hispanic/Latino,,1,802,2,2.8181818182,3,1,-4,48,0.7966408312,4,0,51961
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,26,,,1,,No,Some college,Yes,Yes,No,Woman,Non-Hispanic/Latino,Black or African American,1,710,1,1,0,1,-4,23,0.3774451884,1,0,49931
Some anxiety,Some anxiety,Moderate anxiety,Low anxiety,Low anxiety,Moderate anxiety,High anxiety,Low anxiety,Some anxiety,High anxiety,High anxiety,Somewhat true of me,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Not true of me at all,Generally not true of me,Generally true of me,Very true of me,Generally true of me,Generally true of me,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me very much, or most of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time",Did not apply to me at all,34,,,1,,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,1,822,2.5833333333,2.7272727273,5,2.2857142857,-4,48,0.9645720716,2,0,67642
Quite a bit of anxiety,Quite a bit of anxiety,High anxiety,Some anxiety,Some anxiety,High anxiety,High anxiety,Some anxiety,High anxiety,High anxiety,High anxiety,Generally true of me,Very true of me,Somewhat true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,25,,,1,,No,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,1,329,3.8333333333,4.7272727273,8,1.2857142857,-2.75,33,0.5498716966,1,0,73040
Some anxiety,Low anxiety,Quite a bit of anxiety,Some anxiety,Moderate anxiety,Low anxiety,Quite a bit of anxiety,Some anxiety,Moderate anxiety,Quite a bit of anxiety,High anxiety,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally true of me,Generally true of me,Generally true of me,Generally true of me,Did not apply to me at all,"Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to a considerable degree, or a good part of the time","Applied to me to some degree, or some of the time",20,,1,,,,Some college,No,,,Woman,Non-Hispanic/Latino,White,2,884,2.8333333333,2.8181818182,2,2.4285714286,-4,19,0.3165822447,3,,
Some anxiety,Some anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Some anxiety,Quite a bit of anxiety,Generally true of me,Generally true of me,Somewhat true of me,Very true of me,Very true of me,Generally true of me,Somewhat true of me,Very true of me,Generally true of me,Generally true of me,Generally true of me,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",45,,,1,,No,,No,,,Woman,,,1,81,2.3333333333,4.0909090909,4,1.7142857143,-3,23,0.383275842,1,0,32011
Some anxiety,Low anxiety,High anxiety,Quite a bit of anxiety,High anxiety,Low anxiety,High anxiety,Low anxiety,Moderate anxiety,Quite a bit of anxiety,Moderate anxiety,Generally true of me,Very true of me,Somewhat true of me,Somewhat true of me,Very true of me,Generally true of me,Very true of me,Very true of me,Very true of me,Very true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time","Applied to me to some degree, or some of the time",54,,,,1,No,Completed graduate or professional school,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,429,3.0833333333,4.4545454545,8,1.4285714286,-2.5,48,0.7999733342,4,0,77930
Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Quite a bit of anxiety,Moderate anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Somewhat true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Somewhat true of me,Generally true of me,Generally true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,30,,,1,,No,Completed graduate or professional school,No,,,Woman,Non-Hispanic/Latino,White,2,978,1.9166666667,2.4545454545,6,1.1428571429,-3.75,22,0.3612598115,4,0,46858
Some anxiety,Some anxiety,Quite a bit of anxiety,Low anxiety,Some anxiety,Low anxiety,Quite a bit of anxiety,Moderate anxiety,Moderate anxiety,Some anxiety,Moderate anxiety,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Generally true of me,Generally not true of me,Somewhat true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,29,,,,,,Completed graduate or professional school,No,,,Man,Non-Hispanic/Latino,Asian,1,627,2.4166666667,3,5,1.2857142857,-3.5,36,0.599940006,4,,72459
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Some anxiety,Some anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,29,,,1,,No,Completed graduate or professional school,No,,,Man,Non-Hispanic/Latino,White,1,126,1.3333333333,1.0909090909,1,1,-4,31,0.5132450331,2,0,35326
Some anxiety,Low anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Some anxiety,Some anxiety,Low anxiety,Some anxiety,Quite a bit of anxiety,Some anxiety,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Not true of me at all,Not true of me at all,Generally not true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,65,,,,,,Some college,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,655,2.5,2.0909090909,3,1,-3,46,0.7649200991,1,,35066
Moderate anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Some anxiety,High anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Quite a bit of anxiety,Quite a bit of anxiety,High anxiety,High anxiety,Generally true of me,Somewhat true of me,Generally true of me,Very true of me,Very true of me,Generally true of me,Generally not true of me,Generally true of me,Very true of me,Very true of me,Very true of me,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to a considerable degree, or a good part of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,28,1,,,1,No,Completed graduate or professional school,No,,,Woman,Non-Hispanic/Latino,Multirace (please specify):,2,977,3.9166666667,4.1818181818,8,1.4285714286,-3.25,31,0.5079053002,1,1,52939
Low anxiety,Some anxiety,Moderate anxiety,Low anxiety,Moderate anxiety,Some anxiety,Some anxiety,Quite a bit of anxiety,Some anxiety,Some anxiety,Moderate anxiety,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Somewhat true of me,Not true of me at all,Not true of me at all,Generally not true of me,Generally not true of me,Not true of me at all,Not true of me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,36,,,1,,No,Graduated high school or high school equivalent,No,,,Man,Non-Hispanic/Latino,White,1,165,2.1666666667,1.5454545455,3,1.1428571429,-4,48,0.799960002,1,0,52314
Low anxiety,Low anxiety,High anxiety,Low anxiety,Quite a bit of anxiety,Some anxiety,High anxiety,Low anxiety,Some anxiety,Some anxiety,High anxiety,Somewhat true of me,Not true of me at all,Not true of me at all,Somewhat true of me,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Somewhat true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",30,,,1,,No,Completed graduate or professional school,Yes,No,No,Man,Non-Hispanic/Latino,White,1,457,2.5,2.3636363636,2,1.1428571429,-3,31,0.5166408346,3,1,52326
Some anxiety,Some anxiety,Moderate anxiety,Some anxiety,Some anxiety,Some anxiety,Moderate anxiety,Low anxiety,Some anxiety,Moderate anxiety,Moderate anxiety,Generally not true of me,Generally not true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,38,,,,1,No,Graduated from 2-year college,No,,,Man,Non-Hispanic/Latino,White,1,871,2.25,2.1818181818,6,1,-3.5,20,0.3257435096,3,0,67205
Some anxiety,Some anxiety,Quite a bit of anxiety,Some anxiety,Low anxiety,High anxiety,Quite a bit of anxiety,Low anxiety,Moderate anxiety,Moderate anxiety,High anxiety,Somewhat true of me,Somewhat true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Generally not true of me,Generally not true of me,Generally true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,44,,,1,,No,Graduated from 4-year college,Yes,No,No,Man,Non-Hispanic/Latino,White,1,207,3,2.8181818182,4,1,-3.5,41,0.6832422344,3,1,71927
Some anxiety,Low anxiety,Moderate anxiety,Low anxiety,Some anxiety,Some anxiety,Moderate anxiety,Low anxiety,Some anxiety,Quite a bit of anxiety,High anxiety,Somewhat true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Generally true of me,Generally not true of me,Very true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,29,,,,,,Graduated from 4-year college,No,,,Woman,Non-Hispanic/Latino,White,1,670,2.25,2.9090909091,3,1,-3.75,34,0.5665816794,3,,80716
Low anxiety,Low anxiety,Some anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Low anxiety,Some anxiety,Not true of me at all,Generally not true of me,Not true of me at all,Not true of me at all,Generally not true of me,Not true of me at all,Not true of me at all,Somewhat true of me,Not true of me at all,Generally not true of me,Somewhat true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,"Applied to me to some degree, or some of the time",33,,,,,,Graduated from 4-year college,Yes,Yes,No,Woman,Non-Hispanic/Latino,White,1,297,1.3333333333,1.6363636364,1,1.2857142857,-3.75,30,0.499950005,4,,41102
Low anxiety,Low anxiety,Low anxiety,Moderate anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Some anxiety,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Generally not true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,59,,,1,,No,Graduated high school or high school equivalent,Yes,No,Yes,Woman,Non-Hispanic/Latino,White,1,502,1.25,2,2,1,-3.5,10,0.1666666667,2,0,46229
Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Low anxiety,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,Not true of me at all,"Applied to me to some degree, or some of the time",Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,57,,,1,,No,Some college,No,,,Man,Hispanic/Latino,American Indian or Alaska Native,1,258,1,1,0,1.1428571429,-4,29,0.4825853261,2,0,27565
Some anxiety,Low anxiety,Moderate anxiety,Some anxiety,Some anxiety,Some anxiety,Quite a bit of anxiety,Low anxiety,Some anxiety,Moderate anxiety,High anxiety,Generally not true of me,Somewhat true of me,Generally not true of me,Somewhat true of me,Very true of me,Generally true of me,Generally not true of me,Generally true of me,Somewhat true of me,Generally true of me,Generally true of me,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,Did not apply to me at all,32,,,,1,No,Graduated from 4-year college,Yes,No,No,Woman,Non-Hispanic/Latino,White,1,73,2.4166666667,3.2727272727,7,1,-3.25,22,0.3660383009,3,0,41755
